Province/State;Country/Region;Last Update;Confirmed;Recovered;Demised
Anhui;Mainland China;1/23/20 12:00 PM;9;;
Beijing;Mainland China;1/23/20 12:00 PM;22;;
Chongqing;Mainland China;1/23/20 12:00 PM;9;;
Fujian;Mainland China;1/23/20 12:00 PM;5;;
Gansu;Mainland China;1/23/20 12:00 PM;2;;
Guangdong;Mainland China;1/23/20 12:00 PM;32;2;
Guangxi;Mainland China;1/23/20 12:00 PM;5;;
Guizhou;Mainland China;1/23/20 12:00 PM;3;;
Hainan;Mainland China;1/23/20 12:00 PM;5;;
Hebei;Mainland China;1/23/20 12:00 PM;1;;1
Heilongjiang;Mainland China;1/23/20 12:00 PM;2;;
Henan;Mainland China;1/23/20 12:00 PM;5;;
Hong Kong;Hong Kong;1/23/20 12:00 PM;2;;
Hubei;Mainland China;1/23/20 12:00 PM;444;28;17
Hunan;Mainland China;1/23/20 12:00 PM;9;;
Inner Mongolia;Mainland China;1/23/20 12:00 PM;;;
Jiangsu;Mainland China;1/23/20 12:00 PM;5;;
Jiangxi;Mainland China;1/23/20 12:00 PM;7;;
Jilin;Mainland China;1/23/20 12:00 PM;1;;
Liaoning;Mainland China;1/23/20 12:00 PM;3;;
Macau;Macau;1/23/20 12:00 PM;2;;
Ningxia;Mainland China;1/23/20 12:00 PM;1;;
Qinghai;Mainland China;1/23/20 12:00 PM;;;
Shaanxi;Mainland China;1/23/20 12:00 PM;3;;
Shandong;Mainland China;1/23/20 12:00 PM;6;;
Shanghai;Mainland China;1/23/20 12:00 PM;16;;
Shanxi;Mainland China;1/23/20 12:00 PM;1;;
Sichuan;Mainland China;1/23/20 12:00 PM;8;;
Taiwan;Taiwan;1/23/20 12:00 PM;1;;
Tianjin;Mainland China;1/23/20 12:00 PM;4;;
Tibet;Mainland China;1/23/20 12:00 PM;;;
Washington;US;1/23/20 12:00 PM;1;;
Xinjiang;Mainland China;1/23/20 12:00 PM;2;;
Yunnan;Mainland China;1/23/20 12:00 PM;2;;
Zhejiang;Mainland China;1/23/20 12:00 PM;27;;
;Japan;1/23/20 12:00 PM;1;;
;Thailand;1/23/20 12:00 PM;3;;
;South Korea;1/23/20 12:00 PM;1;;
;Singapore;1/23/20 12:00 PM;1;;
;Philippines;1/23/20 12:00 PM;;;
;Malaysia;1/23/20 12:00 PM;;;
;Vietnam;1/23/20 12:00 PM;2;;
;Australia;1/23/20 12:00 PM;;;
;Mexico;1/23/20 12:00 PM;;;
;Brazil;1/23/20 12:00 PM;;;
;Colombia;1/23/20 12:00 PM;;;
